Seed Type,Location,Temperature Range,Soil Type,Budget Range
Pulses,Tamil Nadu,25°C - 35°C,Clayey soil,800
Sugarcane,Madhya Pradesh,25°C - 35°C,Sandy soil,400
Sorghum,Maharashtra,25°C - 35°C,Sandy soil,400
Rice,Rajasthan,25°C - 35°C,Loamy soil,1000
Sugarcane,Uttar Pradesh,15°C - 25°C,Clayey soil,800
Maize,Punjab,20°C - 35°C,Sandy soil,1100
Wheat,Maharashtra,20°C - 35°C,Clayey soil,700
Sorghum,Uttar Pradesh,25°C - 35°C,Loamy soil,500
Sugarcane,Madhya Pradesh,20°C - 30°C,Sandy soil,1100
Maize,Andhra Pradesh,20°C - 30°C,Sandy loam soil,1100
Maize,Punjab,10°C - 25°C,Loamy soil,800
Barley,Rajasthan,10°C - 25°C,Clayey soil,400
Groundnut,Rajasthan,20°C - 35°C,Sandy soil,600
Sorghum,Maharashtra,15°C - 25°C,Clayey soil,400
Rice,Gujarat,20°C - 35°C,Sandy loam soil,900
Barley,Gujarat,20°C - 35°C,Sandy soil,800
Pulses,Rajasthan,25°C - 35°C,Sandy soil,1000
Wheat,Telangana,20°C - 35°C,Sandy loam soil,600
Cotton,Rajasthan,20°C - 30°C,Loamy soil,1100
Sorghum,Punjab,20°C - 35°C,Clayey soil,1000
Barley,Rajasthan,20°C - 30°C,Loamy soil,1100
Barley,Tamil Nadu,20°C - 35°C,Clayey soil,1000
Sugarcane,Maharashtra,20°C - 35°C,Clayey soil,1200
Rice,Rajasthan,20°C - 35°C,Sandy loam soil,3000
Maize,Madhya Pradesh,15°C - 25°C,Loamy soil,800
Pulses,Rajasthan,20°C - 30°C,Sandy soil,1100
Sugarcane,Rajasthan,25°C - 35°C,Clayey soil,400
Pulses,Tamil Nadu,15°C - 25°C,Loamy soil,1200
Soybean,Gujarat,20°C - 35°C,Sandy loam soil,1200
Sorghum,Andhra Pradesh,20°C - 30°C,Sandy loam soil,600
Sugarcane,Rajasthan,20°C - 35°C,Sandy soil,600
Barley,Gujarat,20°C - 35°C,Loamy soil,1100
Pulses,Rajasthan,20°C - 35°C,Sandy loam soil,900
Pulses,Tamil Nadu,25°C - 35°C,Clayey soil,500
Cotton,Punjab,10°C - 25°C,Sandy loam soil,3000
Pulses,Maharashtra,10°C - 25°C,Clayey soil,1200
Soybean,West Bengal,15°C - 25°C,Clayey soil,600
Groundnut,Punjab,20°C - 30°C,Clayey soil,900
Wheat,Tamil Nadu,25°C - 35°C,Sandy loam soil,1000
Groundnut,Uttar Pradesh,15°C - 25°C,Loamy soil,3000
Barley,West Bengal,20°C - 30°C,Sandy soil,400
Sorghum,Punjab,15°C - 25°C,Clayey soil,700
Groundnut,Tamil Nadu,25°C - 35°C,Sandy soil,400
Rice,Andhra Pradesh,20°C - 35°C,Loamy soil,600
Barley,Andhra Pradesh,10°C - 25°C,Sandy loam soil,700
Pulses,Andhra Pradesh,15°C - 25°C,Clayey soil,900
Soybean,Uttar Pradesh,20°C - 30°C,Loamy soil,400
Barley,Punjab,15°C - 25°C,Clayey soil,600
Soybean,Gujarat,15°C - 25°C,Clayey soil,900
Cotton,Madhya Pradesh,20°C - 35°C,Clayey soil,400
Soybean,Telangana,15°C - 25°C,Loamy soil,1000
Pulses,Gujarat,15°C - 25°C,Sandy soil,1100
Groundnut,Uttar Pradesh,25°C - 35°C,Sandy loam soil,500
Sorghum,Tamil Nadu,10°C - 25°C,Loamy soil,600
Maize,West Bengal,15°C - 25°C,Loamy soil,3000
Maize,Gujarat,20°C - 35°C,Clayey soil,1100
Sugarcane,Telangana,15°C - 25°C,Loamy soil,3000
Barley,West Bengal,20°C - 30°C,Loamy soil,600
Sorghum,Gujarat,20°C - 30°C,Clayey soil,900
Rice,Uttar Pradesh,25°C - 35°C,Loamy soil,1000
Sorghum,Tamil Nadu,20°C - 30°C,Clayey soil,800
Soybean,Gujarat,25°C - 35°C,Sandy soil,800
Sorghum,Rajasthan,20°C - 35°C,Sandy soil,500
Rice,Punjab,20°C - 30°C,Clayey soil,600
Maize,West Bengal,20°C - 30°C,Sandy soil,800
Rice,Madhya Pradesh,15°C - 25°C,Sandy soil,1000
Barley,Uttar Pradesh,20°C - 30°C,Sandy soil,800
Pulses,Tamil Nadu,20°C - 30°C,Loamy soil,500
Soybean,Madhya Pradesh,20°C - 30°C,Loamy soil,900
Soybean,West Bengal,20°C - 30°C,Sandy loam soil,400
Groundnut,Uttar Pradesh,20°C - 30°C,Clayey soil,1000
Pulses,Gujarat,20°C - 35°C,Sandy loam soil,1100
Barley,Rajasthan,10°C - 25°C,Sandy soil,1200
Cotton,Telangana,20°C - 30°C,Sandy loam soil,1200
Rice,Rajasthan,20°C - 30°C,Sandy soil,900
Cotton,Tamil Nadu,10°C - 25°C,Loamy soil,1100
Pulses,Rajasthan,20°C - 35°C,Sandy soil,800
Barley,Andhra Pradesh,15°C - 25°C,Loamy soil,3000
Sugarcane,Telangana,15°C - 25°C,Clayey soil,500
Wheat,Punjab,25°C - 35°C,Loamy soil,3000
Groundnut,Rajasthan,20°C - 35°C,Sandy loam soil,3000
Soybean,Maharashtra,10°C - 25°C,Sandy soil,800
Cotton,Maharashtra,10°C - 25°C,Sandy loam soil,3000
Maize,West Bengal,15°C - 25°C,Sandy loam soil,800
Rice,Madhya Pradesh,20°C - 35°C,Sandy loam soil,500
Cotton,West Bengal,25°C - 35°C,Sandy soil,700
Sugarcane,West Bengal,10°C - 25°C,Loamy soil,400
Sugarcane,Punjab,20°C - 35°C,Sandy loam soil,600
Barley,Tamil Nadu,15°C - 25°C,Sandy loam soil,800
Soybean,Tamil Nadu,20°C - 30°C,Clayey soil,400
Sugarcane,West Bengal,20°C - 30°C,Sandy loam soil,500
Groundnut,Andhra Pradesh,15°C - 25°C,Sandy soil,800
Barley,Madhya Pradesh,15°C - 25°C,Loamy soil,800
Maize,Tamil Nadu,20°C - 35°C,Sandy soil,3000
Sugarcane,Maharashtra,25°C - 35°C,Sandy loam soil,3000
Wheat,Maharashtra,25°C - 35°C,Loamy soil,1100
Pulses,Uttar Pradesh,10°C - 25°C,Loamy soil,1200
Sugarcane,Madhya Pradesh,15°C - 25°C,Sandy soil,1200
Pulses,Telangana,10°C - 25°C,Sandy loam soil,1000
Pulses,Madhya Pradesh,20°C - 35°C,Sandy loam soil,1100
Maize,Uttar Pradesh,15°C - 25°C,Sandy soil,600
Pulses,Andhra Pradesh,20°C - 30°C,Clayey soil,400
Maize,Rajasthan,15°C - 25°C,Sandy loam soil,1200
Groundnut,Punjab,10°C - 25°C,Clayey soil,900
Sorghum,West Bengal,20°C - 30°C,Clayey soil,900
Barley,Punjab,20°C - 35°C,Clayey soil,1100
Wheat,Uttar Pradesh,15°C - 25°C,Sandy loam soil,600
Groundnut,Gujarat,15°C - 25°C,Loamy soil,400
Soybean,Rajasthan,10°C - 25°C,Sandy loam soil,900
Wheat,Gujarat,20°C - 30°C,Loamy soil,3000
Rice,Tamil Nadu,20°C - 35°C,Loamy soil,900
Rice,Andhra Pradesh,10°C - 25°C,Sandy soil,3000
Sorghum,Andhra Pradesh,10°C - 25°C,Clayey soil,1200
Groundnut,Tamil Nadu,10°C - 25°C,Clayey soil,700
Cotton,Andhra Pradesh,15°C - 25°C,Clayey soil,1000
Pulses,Madhya Pradesh,15°C - 25°C,Sandy loam soil,600
Sugarcane,West Bengal,10°C - 25°C,Sandy soil,3000
Cotton,Madhya Pradesh,20°C - 35°C,Sandy loam soil,1200
Rice,Gujarat,25°C - 35°C,Clayey soil,600
Sorghum,Telangana,25°C - 35°C,Clayey soil,700
Sorghum,Gujarat,20°C - 30°C,Clayey soil,900
Wheat,Gujarat,20°C - 30°C,Sandy soil,1200
Sugarcane,Uttar Pradesh,25°C - 35°C,Sandy loam soil,900
Wheat,Andhra Pradesh,25°C - 35°C,Loamy soil,800
Maize,Andhra Pradesh,10°C - 25°C,Clayey soil,1200
Soybean,Telangana,10°C - 25°C,Loamy soil,900
Sorghum,Madhya Pradesh,20°C - 30°C,Clayey soil,1100
Soybean,West Bengal,20°C - 30°C,Sandy loam soil,3000
Maize,Gujarat,25°C - 35°C,Loamy soil,900
Wheat,Telangana,20°C - 35°C,Sandy soil,700
Barley,Gujarat,10°C - 25°C,Loamy soil,1000
Soybean,Uttar Pradesh,15°C - 25°C,Sandy loam soil,1200
Rice,Madhya Pradesh,15°C - 25°C,Loamy soil,900
Cotton,Punjab,20°C - 35°C,Sandy soil,400
Groundnut,Andhra Pradesh,25°C - 35°C,Sandy loam soil,800
Maize,Tamil Nadu,20°C - 30°C,Sandy loam soil,800
Maize,Rajasthan,20°C - 35°C,Loamy soil,3000
Maize,Rajasthan,10°C - 25°C,Loamy soil,1200
Cotton,Tamil Nadu,10°C - 25°C,Clayey soil,400
Maize,Maharashtra,10°C - 25°C,Clayey soil,400
Rice,Telangana,25°C - 35°C,Sandy loam soil,1100
Cotton,Punjab,15°C - 25°C,Clayey soil,1200
Sugarcane,Punjab,15°C - 25°C,Loamy soil,600
Sugarcane,Madhya Pradesh,20°C - 35°C,Clayey soil,500
Sorghum,Maharashtra,10°C - 25°C,Loamy soil,700
Maize,West Bengal,10°C - 25°C,Loamy soil,900
Wheat,Maharashtra,15°C - 25°C,Sandy loam soil,500
Cotton,Punjab,20°C - 35°C,Sandy soil,400
Soybean,Telangana,25°C - 35°C,Sandy loam soil,500
Cotton,Madhya Pradesh,20°C - 35°C,Sandy loam soil,1100
Wheat,Tamil Nadu,20°C - 35°C,Sandy soil,600
Sugarcane,Uttar Pradesh,15°C - 25°C,Loamy soil,600
Soybean,Rajasthan,15°C - 25°C,Sandy soil,1200
Sugarcane,Rajasthan,15°C - 25°C,Loamy soil,1200
Maize,Andhra Pradesh,20°C - 35°C,Sandy loam soil,500
Rice,Tamil Nadu,20°C - 30°C,Sandy soil,500
Sorghum,Telangana,20°C - 30°C,Clayey soil,1000
Maize,West Bengal,15°C - 25°C,Sandy loam soil,1200
Rice,Rajasthan,20°C - 30°C,Clayey soil,700
Groundnut,Maharashtra,25°C - 35°C,Clayey soil,600
Rice,Punjab,15°C - 25°C,Loamy soil,500
Sorghum,West Bengal,20°C - 35°C,Sandy loam soil,500
Wheat,Madhya Pradesh,20°C - 35°C,Sandy loam soil,1000
Pulses,West Bengal,20°C - 30°C,Clayey soil,3000
Pulses,Rajasthan,20°C - 30°C,Sandy loam soil,800
Cotton,Madhya Pradesh,25°C - 35°C,Sandy soil,600
Maize,Maharashtra,15°C - 25°C,Loamy soil,3000
Pulses,Madhya Pradesh,20°C - 30°C,Sandy loam soil,1100
Rice,Tamil Nadu,10°C - 25°C,Loamy soil,1000
Sugarcane,West Bengal,15°C - 25°C,Loamy soil,1100
Cotton,Tamil Nadu,20°C - 35°C,Sandy loam soil,600
Soybean,Madhya Pradesh,10°C - 25°C,Loamy soil,1200
Cotton,Andhra Pradesh,25°C - 35°C,Sandy soil,800
Rice,West Bengal,20°C - 30°C,Sandy soil,400
Rice,Tamil Nadu,20°C - 35°C,Loamy soil,400
Maize,Telangana,25°C - 35°C,Loamy soil,1200
Rice,Uttar Pradesh,10°C - 25°C,Clayey soil,600
Barley,Telangana,20°C - 35°C,Clayey soil,700
Wheat,Andhra Pradesh,10°C - 25°C,Clayey soil,1000
Wheat,Tamil Nadu,10°C - 25°C,Clayey soil,1100
Rice,Maharashtra,25°C - 35°C,Loamy soil,1200
Barley,Rajasthan,25°C - 35°C,Clayey soil,600
Pulses,Gujarat,20°C - 30°C,Sandy soil,800
Rice,Madhya Pradesh,25°C - 35°C,Sandy loam soil,900
Soybean,Rajasthan,25°C - 35°C,Clayey soil,600
Cotton,West Bengal,20°C - 35°C,Loamy soil,700
Cotton,Rajasthan,10°C - 25°C,Sandy loam soil,600
Sugarcane,Rajasthan,20°C - 30°C,Sandy soil,900
Cotton,Uttar Pradesh,15°C - 25°C,Clayey soil,1100
Soybean,West Bengal,25°C - 35°C,Loamy soil,3000
Wheat,Rajasthan,20°C - 30°C,Sandy soil,1100
Wheat,Maharashtra,10°C - 25°C,Clayey soil,900
Cotton,Uttar Pradesh,15°C - 25°C,Sandy loam soil,1200
Barley,Punjab,25°C - 35°C,Loamy soil,700
Barley,Gujarat,20°C - 35°C,Loamy soil,400
Pulses,West Bengal,15°C - 25°C,Sandy soil,900
Sorghum,West Bengal,20°C - 30°C,Sandy loam soil,1000
Cotton,Punjab,10°C - 25°C,Sandy soil,1100
Sorghum,Punjab,20°C - 30°C,Sandy loam soil,1200
Wheat,Uttar Pradesh,20°C - 30°C,Loamy soil,1100
Maize,West Bengal,10°C - 25°C,Loamy soil,1000
Rice,Punjab,25°C - 35°C,Clayey soil,3000
Sugarcane,Punjab,15°C - 25°C,Clayey soil,900
Barley,Andhra Pradesh,20°C - 35°C,Sandy loam soil,1100
Wheat,Madhya Pradesh,20°C - 30°C,Sandy loam soil,400
Barley,Maharashtra,15°C - 25°C,Loamy soil,1000
Sugarcane,Uttar Pradesh,10°C - 25°C,Loamy soil,1100
Maize,Telangana,25°C - 35°C,Loamy soil,400
Wheat,Gujarat,15°C - 25°C,Sandy loam soil,600
Rice,Tamil Nadu,25°C - 35°C,Loamy soil,800
Pulses,Madhya Pradesh,25°C - 35°C,Sandy soil,800
Sugarcane,Telangana,15°C - 25°C,Loamy soil,1000
Barley,Uttar Pradesh,15°C - 25°C,Loamy soil,400
Sugarcane,West Bengal,20°C - 35°C,Clayey soil,1100
Wheat,Tamil Nadu,20°C - 35°C,Sandy soil,3000
Maize,Madhya Pradesh,15°C - 25°C,Sandy loam soil,3000
Sugarcane,Madhya Pradesh,15°C - 25°C,Loamy soil,900
Sorghum,West Bengal,15°C - 25°C,Loamy soil,1200
Soybean,West Bengal,20°C - 30°C,Loamy soil,1100
Sugarcane,Punjab,15°C - 25°C,Sandy loam soil,1000
Maize,Uttar Pradesh,15°C - 25°C,Loamy soil,900
Barley,Madhya Pradesh,15°C - 25°C,Sandy loam soil,700
Groundnut,Punjab,15°C - 25°C,Clayey soil,700
Rice,West Bengal,20°C - 30°C,Clayey soil,800
Sugarcane,West Bengal,20°C - 35°C,Clayey soil,900
Sugarcane,Telangana,25°C - 35°C,Sandy loam soil,600
Cotton,Tamil Nadu,10°C - 25°C,Clayey soil,1100
Rice,West Bengal,20°C - 35°C,Sandy soil,400
Wheat,Rajasthan,20°C - 30°C,Sandy soil,400
Groundnut,Telangana,20°C - 30°C,Sandy soil,700
Maize,Tamil Nadu,20°C - 35°C,Clayey soil,700
Wheat,Gujarat,15°C - 25°C,Sandy soil,800
Maize,Maharashtra,20°C - 35°C,Sandy soil,1100
Maize,Maharashtra,20°C - 35°C,Sandy loam soil,700
Sugarcane,Rajasthan,20°C - 30°C,Clayey soil,1100
Barley,Punjab,20°C - 30°C,Clayey soil,800
Rice,Gujarat,20°C - 35°C,Clayey soil,1000
Soybean,Madhya Pradesh,20°C - 30°C,Clayey soil,700
Cotton,Telangana,20°C - 35°C,Clayey soil,400
Groundnut,Rajasthan,15°C - 25°C,Sandy soil,700
Sugarcane,Andhra Pradesh,25°C - 35°C,Loamy soil,800
Sugarcane,Telangana,10°C - 25°C,Sandy soil,400
Cotton,Andhra Pradesh,20°C - 30°C,Clayey soil,600
Soybean,Madhya Pradesh,25°C - 35°C,Sandy loam soil,500
Rice,Uttar Pradesh,25°C - 35°C,Clayey soil,3000
Sorghum,Andhra Pradesh,20°C - 30°C,Clayey soil,1100
Wheat,Madhya Pradesh,10°C - 25°C,Sandy loam soil,700
Barley,Gujarat,15°C - 25°C,Sandy soil,900
Soybean,Tamil Nadu,10°C - 25°C,Sandy soil,500
Soybean,Madhya Pradesh,20°C - 30°C,Loamy soil,900
Sorghum,Punjab,25°C - 35°C,Sandy loam soil,900
Wheat,Gujarat,15°C - 25°C,Sandy loam soil,900
Soybean,Uttar Pradesh,20°C - 30°C,Sandy soil,1200
Pulses,Maharashtra,25°C - 35°C,Sandy loam soil,600
Maize,West Bengal,10°C - 25°C,Sandy loam soil,700
Cotton,Tamil Nadu,20°C - 30°C,Loamy soil,1100
Rice,Uttar Pradesh,20°C - 35°C,Clayey soil,1200
Rice,Madhya Pradesh,10°C - 25°C,Loamy soil,600
Barley,Punjab,20°C - 30°C,Clayey soil,900
Pulses,Madhya Pradesh,20°C - 35°C,Sandy loam soil,400
Soybean,Madhya Pradesh,25°C - 35°C,Loamy soil,1100
Cotton,Gujarat,20°C - 30°C,Sandy loam soil,800
Pulses,Andhra Pradesh,10°C - 25°C,Clayey soil,3000
Soybean,Madhya Pradesh,20°C - 35°C,Sandy soil,500
Barley,Gujarat,20°C - 30°C,Sandy loam soil,1100
Rice,Tamil Nadu,10°C - 25°C,Sandy loam soil,700
Sugarcane,Maharashtra,20°C - 30°C,Clayey soil,900
Wheat,Madhya Pradesh,20°C - 35°C,Clayey soil,700
Groundnut,Telangana,10°C - 25°C,Clayey soil,3000
Pulses,Madhya Pradesh,20°C - 35°C,Sandy loam soil,700
Sugarcane,Andhra Pradesh,25°C - 35°C,Sandy loam soil,1200
Barley,Telangana,25°C - 35°C,Clayey soil,700
Barley,Maharashtra,20°C - 30°C,Sandy soil,600
Wheat,Madhya Pradesh,25°C - 35°C,Sandy loam soil,600
Groundnut,Maharashtra,20°C - 35°C,Loamy soil,3000
Cotton,Andhra Pradesh,20°C - 30°C,Loamy soil,1000
Wheat,Tamil Nadu,20°C - 35°C,Sandy soil,500
Soybean,West Bengal,25°C - 35°C,Clayey soil,3000
Pulses,Gujarat,15°C - 25°C,Loamy soil,1000
Sorghum,Uttar Pradesh,20°C - 35°C,Sandy soil,600
Sugarcane,Tamil Nadu,15°C - 25°C,Sandy soil,3000
Cotton,Punjab,10°C - 25°C,Clayey soil,3000
Sorghum,Gujarat,25°C - 35°C,Sandy loam soil,900
Wheat,Andhra Pradesh,20°C - 35°C,Sandy soil,400
Groundnut,Telangana,10°C - 25°C,Clayey soil,600
Soybean,West Bengal,20°C - 30°C,Sandy soil,1200
Cotton,Telangana,10°C - 25°C,Clayey soil,1000
Sorghum,Rajasthan,15°C - 25°C,Sandy soil,1100
Cotton,Gujarat,10°C - 25°C,Clayey soil,1200
Pulses,West Bengal,20°C - 30°C,Clayey soil,3000
Soybean,Punjab,20°C - 35°C,Clayey soil,1200
Cotton,Telangana,20°C - 30°C,Loamy soil,1000
Sorghum,Gujarat,15°C - 25°C,Sandy soil,900
Cotton,Telangana,10°C - 25°C,Loamy soil,1000
Cotton,Gujarat,20°C - 30°C,Sandy soil,600
Wheat,Rajasthan,25°C - 35°C,Sandy soil,3000
Cotton,Telangana,20°C - 35°C,Sandy soil,500
Groundnut,Punjab,15°C - 25°C,Sandy soil,3000
Soybean,Rajasthan,20°C - 35°C,Clayey soil,1200
Barley,Tamil Nadu,25°C - 35°C,Loamy soil,800
Groundnut,Tamil Nadu,25°C - 35°C,Sandy soil,700
Wheat,Uttar Pradesh,25°C - 35°C,Clayey soil,1100
Barley,West Bengal,20°C - 30°C,Clayey soil,3000
Soybean,Andhra Pradesh,25°C - 35°C,Clayey soil,1000
Sugarcane,Andhra Pradesh,25°C - 35°C,Sandy soil,1000
Groundnut,Punjab,20°C - 30°C,Clayey soil,700
Groundnut,Maharashtra,15°C - 25°C,Sandy soil,1000
Wheat,Maharashtra,20°C - 35°C,Clayey soil,600
Barley,Telangana,10°C - 25°C,Clayey soil,700
Sugarcane,Uttar Pradesh,15°C - 25°C,Clayey soil,800
Rice,Uttar Pradesh,20°C - 30°C,Sandy loam soil,1000
Wheat,Telangana,20°C - 30°C,Clayey soil,700
Wheat,West Bengal,25°C - 35°C,Clayey soil,400
Barley,Tamil Nadu,20°C - 30°C,Sandy loam soil,400
Wheat,Maharashtra,20°C - 35°C,Sandy soil,1200
Pulses,Punjab,15°C - 25°C,Sandy soil,1000
Wheat,Rajasthan,10°C - 25°C,Loamy soil,600
Soybean,Maharashtra,20°C - 35°C,Loamy soil,1000
Soybean,Madhya Pradesh,25°C - 35°C,Sandy loam soil,1100
Cotton,Andhra Pradesh,25°C - 35°C,Clayey soil,500
Maize,Rajasthan,20°C - 35°C,Clayey soil,800
Rice,Telangana,20°C - 30°C,Sandy soil,600
Cotton,Uttar Pradesh,15°C - 25°C,Loamy soil,700
Maize,Maharashtra,20°C - 35°C,Sandy soil,1000
Maize,West Bengal,15°C - 25°C,Loamy soil,900
Sugarcane,Maharashtra,15°C - 25°C,Loamy soil,900
Sorghum,Tamil Nadu,20°C - 35°C,Clayey soil,800
Cotton,West Bengal,20°C - 30°C,Clayey soil,1200
Barley,Telangana,20°C - 35°C,Loamy soil,1200
Sorghum,West Bengal,10°C - 25°C,Loamy soil,600
Cotton,Telangana,15°C - 25°C,Sandy soil,3000
Soybean,Andhra Pradesh,25°C - 35°C,Sandy loam soil,500
Wheat,West Bengal,20°C - 30°C,Loamy soil,400
