Seed Type,Location,Temperature Range,Soil Type,Budget Range
Cotton,Andhra Pradesh,20°C - 35°C,Sandy soil,600
Soybean,Telangana,15°C - 25°C,Loamy soil,1000
Soybean,Gujarat,15°C - 25°C,Clayey soil,1100
Cotton,Telangana,25°C - 35°C,Clayey soil,900
Maize,Maharashtra,20°C - 30°C,Sandy loam soil,1000
Soybean,Telangana,10°C - 25°C,Loamy soil,1100
Maize,Punjab,10°C - 25°C,Loamy soil,800
Maize,Uttar Pradesh,20°C - 35°C,Sandy loam soil,500
Groundnut,Punjab,20°C - 35°C,Loamy soil,500
Soybean,Gujarat,25°C - 35°C,Sandy loam soil,700
Groundnut,Uttar Pradesh,25°C - 35°C,Sandy loam soil,900
Sugarcane,Gujarat,20°C - 35°C,Sandy loam soil,600
Wheat,Rajasthan,25°C - 35°C,Sandy loam soil,3000
Rice,Rajasthan,20°C - 30°C,Sandy soil,1100
Sorghum,Madhya Pradesh,25°C - 35°C,Clayey soil,600
Sorghum,Punjab,20°C - 30°C,Clayey soil,1000
Soybean,Gujarat,20°C - 35°C,Clayey soil,1100
Pulses,Tamil Nadu,20°C - 30°C,Sandy soil,600
Groundnut,Rajasthan,25°C - 35°C,Clayey soil,500
Soybean,Telangana,10°C - 25°C,Sandy soil,1100
Sorghum,Punjab,20°C - 30°C,Clayey soil,700
Rice,Andhra Pradesh,20°C - 30°C,Sandy loam soil,3000
Groundnut,Uttar Pradesh,25°C - 35°C,Sandy loam soil,500
Rice,Gujarat,15°C - 25°C,Sandy loam soil,800
Groundnut,Telangana,20°C - 30°C,Sandy loam soil,800
Rice,West Bengal,25°C - 35°C,Sandy loam soil,800
Sorghum,Gujarat,20°C - 35°C,Sandy loam soil,900
Barley,Andhra Pradesh,15°C - 25°C,Sandy loam soil,400
Cotton,Punjab,10°C - 25°C,Loamy soil,1100
Cotton,Gujarat,20°C - 35°C,Sandy loam soil,600
Wheat,Andhra Pradesh,20°C - 30°C,Loamy soil,1100
Maize,Maharashtra,25°C - 35°C,Sandy soil,800
Pulses,Andhra Pradesh,15°C - 25°C,Clayey soil,900
Pulses,Punjab,25°C - 35°C,Loamy soil,1200
Barley,Rajasthan,10°C - 25°C,Sandy soil,700
Wheat,Rajasthan,20°C - 30°C,Clayey soil,500
Barley,West Bengal,20°C - 30°C,Sandy soil,700
Rice,Punjab,10°C - 25°C,Sandy soil,3000
Rice,Andhra Pradesh,20°C - 35°C,Loamy soil,700
Soybean,Gujarat,20°C - 35°C,Sandy loam soil,1100
Maize,Uttar Pradesh,20°C - 35°C,Sandy soil,500
Pulses,Gujarat,10°C - 25°C,Sandy loam soil,1200
Maize,Andhra Pradesh,20°C - 35°C,Sandy soil,400
Pulses,Punjab,15°C - 25°C,Clayey soil,900
Maize,West Bengal,10°C - 25°C,Clayey soil,800
Sugarcane,Maharashtra,25°C - 35°C,Sandy soil,400
Sorghum,Tamil Nadu,20°C - 35°C,Clayey soil,3000
Rice,Telangana,20°C - 35°C,Clayey soil,700
Sugarcane,Punjab,20°C - 35°C,Sandy loam soil,400
Maize,Andhra Pradesh,15°C - 25°C,Sandy soil,600
Maize,Tamil Nadu,10°C - 25°C,Clayey soil,800
Sorghum,Tamil Nadu,15°C - 25°C,Sandy soil,800
Maize,Gujarat,20°C - 35°C,Sandy loam soil,400
Sorghum,West Bengal,10°C - 25°C,Sandy loam soil,3000
Sugarcane,Madhya Pradesh,20°C - 30°C,Sandy loam soil,3000
Sorghum,Telangana,20°C - 35°C,Loamy soil,600
Maize,Andhra Pradesh,15°C - 25°C,Sandy loam soil,1100
Soybean,Punjab,20°C - 30°C,Clayey soil,700
Barley,West Bengal,20°C - 30°C,Sandy loam soil,600
Barley,West Bengal,10°C - 25°C,Loamy soil,400
Sugarcane,Andhra Pradesh,20°C - 30°C,Sandy loam soil,800
Wheat,Uttar Pradesh,20°C - 35°C,Loamy soil,600
Sugarcane,Rajasthan,25°C - 35°C,Loamy soil,500
Groundnut,Madhya Pradesh,15°C - 25°C,Clayey soil,1100
Soybean,Gujarat,10°C - 25°C,Loamy soil,1000
Rice,Telangana,15°C - 25°C,Sandy soil,600
Wheat,Rajasthan,15°C - 25°C,Loamy soil,400
Cotton,Rajasthan,10°C - 25°C,Loamy soil,400
Wheat,Andhra Pradesh,20°C - 35°C,Sandy soil,1100
Soybean,Punjab,15°C - 25°C,Sandy loam soil,900
Sugarcane,Punjab,25°C - 35°C,Loamy soil,800
Sorghum,Gujarat,25°C - 35°C,Sandy soil,1100
Barley,Telangana,10°C - 25°C,Loamy soil,3000
Maize,Maharashtra,20°C - 35°C,Sandy soil,800
Sorghum,Uttar Pradesh,15°C - 25°C,Sandy soil,3000
Soybean,Tamil Nadu,20°C - 35°C,Sandy soil,900
Pulses,Madhya Pradesh,20°C - 35°C,Clayey soil,3000
Pulses,Rajasthan,20°C - 35°C,Loamy soil,1100
Rice,Uttar Pradesh,20°C - 30°C,Loamy soil,3000
Barley,Andhra Pradesh,20°C - 35°C,Sandy soil,1100
Sugarcane,Tamil Nadu,25°C - 35°C,Loamy soil,600
Groundnut,Andhra Pradesh,20°C - 35°C,Clayey soil,600
Pulses,Gujarat,15°C - 25°C,Sandy loam soil,900
Cotton,Gujarat,20°C - 30°C,Sandy soil,3000
Groundnut,West Bengal,10°C - 25°C,Sandy loam soil,900
Rice,Gujarat,15°C - 25°C,Clayey soil,3000
Wheat,Telangana,15°C - 25°C,Loamy soil,3000
Maize,Punjab,15°C - 25°C,Sandy soil,1200
Groundnut,Andhra Pradesh,25°C - 35°C,Clayey soil,700
Soybean,Tamil Nadu,10°C - 25°C,Clayey soil,1100
Pulses,Andhra Pradesh,10°C - 25°C,Sandy soil,400
Barley,West Bengal,15°C - 25°C,Loamy soil,700
Maize,Andhra Pradesh,20°C - 35°C,Clayey soil,700
Groundnut,Andhra Pradesh,25°C - 35°C,Clayey soil,900
Cotton,West Bengal,15°C - 25°C,Loamy soil,1100
Maize,Uttar Pradesh,15°C - 25°C,Sandy loam soil,900
Soybean,West Bengal,15°C - 25°C,Loamy soil,800
Sugarcane,Uttar Pradesh,25°C - 35°C,Sandy soil,800
Barley,Uttar Pradesh,10°C - 25°C,Sandy loam soil,500
Rice,West Bengal,20°C - 30°C,Sandy loam soil,600
Barley,Telangana,15°C - 25°C,Sandy loam soil,1100
Maize,Madhya Pradesh,25°C - 35°C,Clayey soil,700
Sorghum,Tamil Nadu,20°C - 30°C,Sandy soil,1000
Sugarcane,Rajasthan,10°C - 25°C,Sandy soil,3000
Sorghum,Rajasthan,20°C - 35°C,Clayey soil,1100
Sorghum,Maharashtra,25°C - 35°C,Sandy loam soil,400
Rice,Madhya Pradesh,10°C - 25°C,Sandy loam soil,800
Cotton,West Bengal,25°C - 35°C,Sandy soil,700
Soybean,Uttar Pradesh,20°C - 35°C,Sandy loam soil,400
Wheat,Maharashtra,20°C - 30°C,Sandy loam soil,500
Maize,Tamil Nadu,10°C - 25°C,Sandy loam soil,1100
Maize,Tamil Nadu,20°C - 35°C,Sandy loam soil,600
Maize,West Bengal,20°C - 35°C,Sandy soil,700
Cotton,Andhra Pradesh,10°C - 25°C,Sandy loam soil,900
Sorghum,Andhra Pradesh,10°C - 25°C,Clayey soil,700
Sorghum,Maharashtra,15°C - 25°C,Sandy loam soil,600
Cotton,West Bengal,25°C - 35°C,Loamy soil,500
Soybean,Tamil Nadu,25°C - 35°C,Sandy loam soil,1200
Sorghum,Gujarat,20°C - 35°C,Sandy loam soil,800
Cotton,Punjab,15°C - 25°C,Loamy soil,700
Cotton,West Bengal,20°C - 30°C,Sandy soil,3000
Pulses,Telangana,20°C - 35°C,Clayey soil,600
Sorghum,Maharashtra,25°C - 35°C,Sandy loam soil,1200
Barley,Punjab,15°C - 25°C,Clayey soil,900
Barley,Uttar Pradesh,25°C - 35°C,Sandy loam soil,1200
Sugarcane,Telangana,20°C - 30°C,Loamy soil,1000
Groundnut,Madhya Pradesh,25°C - 35°C,Sandy soil,600
Pulses,Tamil Nadu,15°C - 25°C,Sandy loam soil,800
Pulses,Rajasthan,20°C - 35°C,Clayey soil,600
Rice,Tamil Nadu,25°C - 35°C,Sandy soil,500
Soybean,Andhra Pradesh,15°C - 25°C,Loamy soil,600
Soybean,Punjab,25°C - 35°C,Sandy loam soil,800
Cotton,Tamil Nadu,20°C - 30°C,Loamy soil,600
Rice,Uttar Pradesh,25°C - 35°C,Sandy loam soil,1200
Rice,Tamil Nadu,25°C - 35°C,Sandy soil,900
Pulses,Rajasthan,25°C - 35°C,Sandy loam soil,900
Pulses,Punjab,25°C - 35°C,Sandy soil,3000
Barley,Madhya Pradesh,20°C - 30°C,Loamy soil,1000
Sorghum,Gujarat,15°C - 25°C,Sandy soil,3000
Sugarcane,Telangana,25°C - 35°C,Sandy soil,600
Cotton,Punjab,15°C - 25°C,Clayey soil,1000
Rice,Rajasthan,20°C - 35°C,Sandy loam soil,900
Cotton,Telangana,25°C - 35°C,Loamy soil,1200
Wheat,Gujarat,25°C - 35°C,Loamy soil,1200
Sorghum,Uttar Pradesh,25°C - 35°C,Sandy loam soil,800
Rice,Maharashtra,10°C - 25°C,Sandy loam soil,500
Barley,Madhya Pradesh,25°C - 35°C,Sandy soil,700
Cotton,Maharashtra,20°C - 30°C,Loamy soil,3000
Groundnut,Tamil Nadu,20°C - 35°C,Sandy loam soil,1100
Wheat,Uttar Pradesh,20°C - 35°C,Clayey soil,500
Wheat,Gujarat,10°C - 25°C,Loamy soil,1000
Sugarcane,Maharashtra,10°C - 25°C,Sandy soil,800
Sorghum,Tamil Nadu,15°C - 25°C,Clayey soil,1100
Sorghum,Tamil Nadu,20°C - 35°C,Loamy soil,500
Barley,Uttar Pradesh,10°C - 25°C,Sandy soil,900
Sugarcane,Telangana,20°C - 35°C,Clayey soil,900
Wheat,Rajasthan,10°C - 25°C,Sandy loam soil,900
Cotton,Rajasthan,25°C - 35°C,Clayey soil,1000
Rice,Tamil Nadu,20°C - 35°C,Clayey soil,1200
Rice,Tamil Nadu,20°C - 30°C,Loamy soil,400
Groundnut,Rajasthan,10°C - 25°C,Sandy loam soil,1200
Soybean,Tamil Nadu,15°C - 25°C,Sandy loam soil,1000
Cotton,West Bengal,25°C - 35°C,Sandy loam soil,400
Barley,Telangana,25°C - 35°C,Sandy loam soil,3000
Pulses,Punjab,15°C - 25°C,Sandy soil,3000
Wheat,Tamil Nadu,15°C - 25°C,Clayey soil,1200
Sugarcane,West Bengal,10°C - 25°C,Clayey soil,700
Groundnut,Andhra Pradesh,20°C - 30°C,Sandy loam soil,700
Rice,Andhra Pradesh,20°C - 30°C,Loamy soil,1100
Barley,West Bengal,20°C - 30°C,Loamy soil,900
Soybean,Uttar Pradesh,20°C - 30°C,Sandy soil,500
Wheat,Maharashtra,15°C - 25°C,Loamy soil,600
Sugarcane,Andhra Pradesh,15°C - 25°C,Sandy soil,600
Sugarcane,Maharashtra,20°C - 35°C,Sandy loam soil,1000
Sorghum,Tamil Nadu,25°C - 35°C,Sandy soil,400
Maize,West Bengal,15°C - 25°C,Sandy soil,700
Sorghum,West Bengal,10°C - 25°C,Sandy loam soil,1100
Cotton,Andhra Pradesh,20°C - 35°C,Clayey soil,900
Rice,Gujarat,10°C - 25°C,Loamy soil,1000
Cotton,Tamil Nadu,20°C - 30°C,Sandy soil,1100
Rice,Madhya Pradesh,15°C - 25°C,Sandy loam soil,900
Sugarcane,Rajasthan,10°C - 25°C,Sandy soil,1200
Sugarcane,West Bengal,20°C - 30°C,Loamy soil,400
Sugarcane,Punjab,10°C - 25°C,Clayey soil,1200
Wheat,West Bengal,20°C - 35°C,Loamy soil,1100
Maize,West Bengal,20°C - 30°C,Sandy soil,500
Sugarcane,West Bengal,20°C - 35°C,Loamy soil,1200
Maize,Telangana,20°C - 30°C,Sandy loam soil,1100
Rice,Maharashtra,10°C - 25°C,Loamy soil,500
Barley,Telangana,10°C - 25°C,Loamy soil,700
Groundnut,Andhra Pradesh,20°C - 35°C,Sandy soil,400
Barley,West Bengal,15°C - 25°C,Loamy soil,700
Soybean,Maharashtra,25°C - 35°C,Loamy soil,700
Pulses,Gujarat,20°C - 30°C,Clayey soil,3000
Soybean,Gujarat,20°C - 30°C,Sandy loam soil,3000
Rice,Andhra Pradesh,15°C - 25°C,Clayey soil,400
Barley,Madhya Pradesh,10°C - 25°C,Sandy loam soil,700
Barley,Telangana,15°C - 25°C,Sandy loam soil,500
Sorghum,Tamil Nadu,20°C - 35°C,Clayey soil,1200
Rice,Tamil Nadu,10°C - 25°C,Loamy soil,3000
Wheat,Telangana,10°C - 25°C,Loamy soil,1100
Maize,Maharashtra,25°C - 35°C,Sandy loam soil,400
Wheat,Uttar Pradesh,20°C - 30°C,Clayey soil,900
Pulses,Andhra Pradesh,20°C - 35°C,Sandy soil,400
Groundnut,Punjab,25°C - 35°C,Loamy soil,1000
Rice,Tamil Nadu,15°C - 25°C,Sandy loam soil,500
Cotton,Punjab,10°C - 25°C,Sandy loam soil,800
Wheat,Telangana,15°C - 25°C,Loamy soil,3000
Wheat,Rajasthan,10°C - 25°C,Sandy loam soil,1200
Pulses,Punjab,15°C - 25°C,Loamy soil,400
Rice,Andhra Pradesh,25°C - 35°C,Clayey soil,600
Maize,Rajasthan,20°C - 35°C,Sandy loam soil,400
Cotton,Rajasthan,20°C - 30°C,Sandy loam soil,600
Groundnut,Telangana,25°C - 35°C,Sandy loam soil,1200
Cotton,Telangana,10°C - 25°C,Loamy soil,500
Pulses,Telangana,25°C - 35°C,Sandy soil,700
Sugarcane,Rajasthan,25°C - 35°C,Sandy soil,1000
Barley,Gujarat,20°C - 30°C,Sandy soil,1100
Sorghum,West Bengal,25°C - 35°C,Sandy soil,500
Barley,Andhra Pradesh,20°C - 35°C,Sandy soil,800
Sugarcane,Telangana,25°C - 35°C,Clayey soil,1000
Rice,Madhya Pradesh,10°C - 25°C,Sandy loam soil,1200
Soybean,West Bengal,20°C - 35°C,Clayey soil,3000
Wheat,Maharashtra,20°C - 30°C,Sandy loam soil,700
Rice,Maharashtra,25°C - 35°C,Sandy soil,900
Rice,West Bengal,20°C - 35°C,Sandy loam soil,900
Sugarcane,Punjab,15°C - 25°C,Sandy loam soil,1100
Cotton,Punjab,10°C - 25°C,Sandy loam soil,800
Wheat,West Bengal,20°C - 30°C,Sandy soil,1200
Sorghum,Punjab,20°C - 30°C,Clayey soil,1200
Sugarcane,Maharashtra,10°C - 25°C,Sandy soil,1100
Soybean,Gujarat,20°C - 30°C,Sandy soil,800
Sugarcane,Maharashtra,10°C - 25°C,Clayey soil,1100
Pulses,Madhya Pradesh,20°C - 35°C,Sandy loam soil,800
Pulses,Rajasthan,25°C - 35°C,Sandy soil,1000
Sugarcane,Uttar Pradesh,25°C - 35°C,Loamy soil,1200
Sorghum,Andhra Pradesh,20°C - 35°C,Clayey soil,700
Soybean,Telangana,10°C - 25°C,Sandy loam soil,600
Pulses,Telangana,20°C - 30°C,Sandy loam soil,600
Sugarcane,Andhra Pradesh,15°C - 25°C,Loamy soil,500
Cotton,Tamil Nadu,25°C - 35°C,Sandy soil,1200
Groundnut,Gujarat,20°C - 30°C,Loamy soil,500
Soybean,Punjab,15°C - 25°C,Sandy loam soil,3000
Soybean,Rajasthan,10°C - 25°C,Sandy soil,400
Pulses,Punjab,15°C - 25°C,Sandy loam soil,500
Sorghum,Punjab,25°C - 35°C,Sandy loam soil,500
Pulses,Maharashtra,15°C - 25°C,Sandy soil,700
Wheat,Telangana,15°C - 25°C,Sandy soil,3000
Barley,Uttar Pradesh,10°C - 25°C,Sandy loam soil,500
Rice,Telangana,25°C - 35°C,Sandy loam soil,800
Rice,Gujarat,25°C - 35°C,Sandy loam soil,400
Soybean,Uttar Pradesh,25°C - 35°C,Clayey soil,600
Soybean,Andhra Pradesh,25°C - 35°C,Sandy soil,800
Rice,Maharashtra,25°C - 35°C,Loamy soil,3000
Pulses,Andhra Pradesh,20°C - 35°C,Sandy soil,500
Sorghum,Rajasthan,10°C - 25°C,Sandy loam soil,1100
Rice,Tamil Nadu,20°C - 30°C,Loamy soil,800
Sugarcane,Tamil Nadu,20°C - 35°C,Sandy soil,500
Sorghum,Telangana,20°C - 35°C,Sandy soil,600
Wheat,Uttar Pradesh,25°C - 35°C,Sandy loam soil,700
Barley,Punjab,20°C - 30°C,Sandy loam soil,3000
Rice,West Bengal,10°C - 25°C,Sandy loam soil,1200
Wheat,Uttar Pradesh,20°C - 35°C,Sandy soil,1000
Soybean,Telangana,10°C - 25°C,Sandy loam soil,400
Barley,Telangana,20°C - 30°C,Clayey soil,600
Pulses,Gujarat,10°C - 25°C,Sandy soil,700
Sorghum,Madhya Pradesh,10°C - 25°C,Sandy soil,800
Groundnut,Rajasthan,25°C - 35°C,Sandy loam soil,3000
Soybean,Tamil Nadu,15°C - 25°C,Clayey soil,400
Rice,West Bengal,20°C - 30°C,Clayey soil,1000
Maize,Tamil Nadu,15°C - 25°C,Clayey soil,700
Pulses,Maharashtra,20°C - 30°C,Sandy loam soil,600
Pulses,Andhra Pradesh,25°C - 35°C,Clayey soil,1100
Wheat,Maharashtra,20°C - 30°C,Clayey soil,3000
Wheat,Uttar Pradesh,25°C - 35°C,Sandy soil,800
Groundnut,Rajasthan,20°C - 30°C,Sandy loam soil,500
Maize,Maharashtra,20°C - 30°C,Clayey soil,600
Groundnut,Madhya Pradesh,20°C - 35°C,Sandy soil,1200
Wheat,Telangana,15°C - 25°C,Sandy soil,800
Soybean,Tamil Nadu,25°C - 35°C,Loamy soil,800
Barley,Telangana,20°C - 30°C,Loamy soil,1100
Cotton,Maharashtra,20°C - 30°C,Loamy soil,400
Wheat,Madhya Pradesh,20°C - 30°C,Sandy loam soil,1200
Wheat,West Bengal,20°C - 35°C,Sandy loam soil,400
Sorghum,Tamil Nadu,20°C - 35°C,Clayey soil,500
Soybean,Punjab,20°C - 30°C,Loamy soil,1200
Maize,Madhya Pradesh,10°C - 25°C,Sandy soil,1100
Groundnut,Uttar Pradesh,10°C - 25°C,Sandy soil,1200
Groundnut,Madhya Pradesh,25°C - 35°C,Sandy loam soil,1000
Pulses,Tamil Nadu,20°C - 30°C,Clayey soil,800
Pulses,Rajasthan,20°C - 35°C,Sandy soil,900
Rice,Gujarat,15°C - 25°C,Sandy loam soil,1000
Rice,Maharashtra,25°C - 35°C,Sandy soil,600
Wheat,Tamil Nadu,15°C - 25°C,Clayey soil,900
Cotton,Rajasthan,25°C - 35°C,Sandy loam soil,800
Cotton,Madhya Pradesh,20°C - 30°C,Sandy loam soil,1200
Rice,Uttar Pradesh,25°C - 35°C,Sandy loam soil,3000
Rice,West Bengal,20°C - 30°C,Sandy loam soil,1000
Sugarcane,Gujarat,20°C - 35°C,Clayey soil,400
Maize,Gujarat,15°C - 25°C,Clayey soil,1000
Sugarcane,West Bengal,25°C - 35°C,Clayey soil,1100
Soybean,Maharashtra,10°C - 25°C,Sandy loam soil,1200
Rice,Gujarat,10°C - 25°C,Sandy soil,1200
Barley,Andhra Pradesh,25°C - 35°C,Loamy soil,1200
Sorghum,Maharashtra,25°C - 35°C,Sandy loam soil,3000
Sorghum,Punjab,10°C - 25°C,Sandy loam soil,700
Soybean,Telangana,15°C - 25°C,Clayey soil,400
Cotton,West Bengal,20°C - 35°C,Sandy loam soil,400
Wheat,Madhya Pradesh,20°C - 30°C,Sandy loam soil,600
Wheat,West Bengal,20°C - 30°C,Loamy soil,600
Cotton,Andhra Pradesh,15°C - 25°C,Clayey soil,3000
Cotton,Telangana,10°C - 25°C,Clayey soil,3000
Rice,West Bengal,20°C - 30°C,Clayey soil,800
Wheat,Uttar Pradesh,25°C - 35°C,Clayey soil,500
Soybean,Punjab,20°C - 35°C,Sandy loam soil,600
Rice,Rajasthan,15°C - 25°C,Loamy soil,900
Sorghum,Maharashtra,20°C - 35°C,Loamy soil,400
Sorghum,Rajasthan,10°C - 25°C,Clayey soil,1000
Wheat,Punjab,20°C - 30°C,Sandy loam soil,1000
Barley,Tamil Nadu,20°C - 30°C,Loamy soil,3000
Cotton,Tamil Nadu,25°C - 35°C,Sandy loam soil,1200
Cotton,Uttar Pradesh,20°C - 30°C,Clayey soil,400
Barley,Maharashtra,15°C - 25°C,Sandy soil,700
Pulses,Andhra Pradesh,20°C - 30°C,Loamy soil,500
Wheat,Andhra Pradesh,20°C - 30°C,Clayey soil,1100
Pulses,Tamil Nadu,25°C - 35°C,Sandy loam soil,600
Barley,Telangana,20°C - 30°C,Loamy soil,800
Cotton,Punjab,20°C - 35°C,Sandy loam soil,1200
Barley,West Bengal,20°C - 30°C,Sandy soil,800
Soybean,Punjab,25°C - 35°C,Clayey soil,600
Maize,Tamil Nadu,20°C - 35°C,Sandy soil,600
Sugarcane,Rajasthan,10°C - 25°C,Sandy loam soil,500
Rice,Rajasthan,20°C - 30°C,Loamy soil,600
