Seed Type,Location,Temperature Range,Soil Type,Budget Range
Cotton,Tamil Nadu,20°C - 35°C,Clayey soil,1000
Groundnut,Gujarat,20°C - 30°C,Sandy soil,600
Rice,Maharashtra,25°C - 35°C,Sandy soil,800
Pulses,Telangana,20°C - 35°C,Sandy soil,900
Maize,Rajasthan,15°C - 25°C,Loamy soil,1100
Pulses,Gujarat,15°C - 25°C,Clayey soil,900
Pulses,Gujarat,25°C - 35°C,Loamy soil,1200
Wheat,Punjab,20°C - 30°C,Loamy soil,900
Groundnut,Punjab,15°C - 25°C,Sandy soil,3000
Sugarcane,Uttar Pradesh,25°C - 35°C,Sandy soil,3000
Wheat,Telangana,25°C - 35°C,Loamy soil,1000
Maize,Uttar Pradesh,10°C - 25°C,Clayey soil,900
Soybean,West Bengal,20°C - 30°C,Loamy soil,1100
Sorghum,Punjab,15°C - 25°C,Loamy soil,600
Soybean,Andhra Pradesh,25°C - 35°C,Clayey soil,1200
Groundnut,Tamil Nadu,20°C - 30°C,Sandy loam soil,1200
Wheat,Punjab,20°C - 35°C,Clayey soil,400
Sorghum,Madhya Pradesh,10°C - 25°C,Sandy soil,800
Pulses,Rajasthan,20°C - 35°C,Clayey soil,600
Groundnut,Maharashtra,20°C - 35°C,Sandy loam soil,1100
Barley,Tamil Nadu,20°C - 35°C,Sandy soil,900
Soybean,Tamil Nadu,10°C - 25°C,Sandy loam soil,1100
Sorghum,Andhra Pradesh,20°C - 35°C,Loamy soil,500
Rice,Rajasthan,15°C - 25°C,Clayey soil,500
Cotton,Punjab,25°C - 35°C,Sandy soil,600
Wheat,Telangana,10°C - 25°C,Sandy loam soil,400
Maize,Rajasthan,25°C - 35°C,Sandy loam soil,700
Barley,Punjab,15°C - 25°C,Sandy soil,400
Cotton,Gujarat,20°C - 35°C,Clayey soil,1200
Maize,Andhra Pradesh,20°C - 35°C,Sandy soil,900
Groundnut,West Bengal,20°C - 35°C,Sandy soil,500
Sorghum,Punjab,10°C - 25°C,Sandy soil,600
Pulses,Madhya Pradesh,20°C - 35°C,Sandy loam soil,700
Barley,Rajasthan,20°C - 30°C,Loamy soil,500
Maize,Rajasthan,20°C - 30°C,Sandy soil,1100
Rice,Gujarat,10°C - 25°C,Loamy soil,500
Pulses,Tamil Nadu,15°C - 25°C,Loamy soil,900
Cotton,Gujarat,15°C - 25°C,Clayey soil,1200
Sugarcane,West Bengal,10°C - 25°C,Sandy soil,1100
Sorghum,Rajasthan,25°C - 35°C,Sandy loam soil,900
Sugarcane,Tamil Nadu,15°C - 25°C,Sandy loam soil,1000
Sorghum,Gujarat,25°C - 35°C,Loamy soil,400
Maize,Maharashtra,10°C - 25°C,Clayey soil,500
Sugarcane,Gujarat,20°C - 30°C,Clayey soil,1000
Maize,Gujarat,20°C - 35°C,Sandy loam soil,600
Cotton,West Bengal,20°C - 35°C,Clayey soil,1200
Sugarcane,Madhya Pradesh,15°C - 25°C,Loamy soil,900
Rice,Gujarat,10°C - 25°C,Clayey soil,900
Groundnut,West Bengal,10°C - 25°C,Sandy soil,1200
Pulses,Telangana,25°C - 35°C,Loamy soil,1200
Rice,Telangana,25°C - 35°C,Clayey soil,400
Maize,Uttar Pradesh,25°C - 35°C,Sandy loam soil,800
Pulses,Telangana,15°C - 25°C,Sandy soil,600
Barley,Uttar Pradesh,15°C - 25°C,Clayey soil,500
Sugarcane,Rajasthan,15°C - 25°C,Sandy loam soil,1200
Barley,Andhra Pradesh,20°C - 30°C,Sandy soil,400
Sorghum,Rajasthan,25°C - 35°C,Sandy loam soil,900
Maize,Punjab,10°C - 25°C,Clayey soil,400
Maize,Tamil Nadu,20°C - 30°C,Sandy loam soil,400
Sorghum,Madhya Pradesh,25°C - 35°C,Clayey soil,3000
Maize,Rajasthan,20°C - 35°C,Sandy loam soil,1100
Barley,Uttar Pradesh,20°C - 30°C,Sandy loam soil,600
Rice,Tamil Nadu,20°C - 35°C,Clayey soil,1000
Wheat,West Bengal,20°C - 35°C,Loamy soil,3000
Soybean,Maharashtra,25°C - 35°C,Clayey soil,800
Sorghum,Punjab,20°C - 35°C,Loamy soil,3000
Pulses,Tamil Nadu,20°C - 35°C,Clayey soil,700
Barley,Maharashtra,10°C - 25°C,Sandy loam soil,900
Pulses,Andhra Pradesh,20°C - 30°C,Sandy loam soil,3000
Groundnut,Madhya Pradesh,20°C - 30°C,Loamy soil,800
Groundnut,Gujarat,20°C - 35°C,Sandy loam soil,700
Barley,Tamil Nadu,15°C - 25°C,Loamy soil,1100
Sorghum,Maharashtra,20°C - 30°C,Clayey soil,400
Maize,Tamil Nadu,20°C - 35°C,Clayey soil,900
Soybean,West Bengal,20°C - 35°C,Loamy soil,700
Sorghum,Madhya Pradesh,25°C - 35°C,Sandy soil,800
Maize,Telangana,20°C - 35°C,Clayey soil,3000
Pulses,Tamil Nadu,20°C - 30°C,Sandy soil,700
Sorghum,Maharashtra,25°C - 35°C,Sandy soil,700
Sorghum,Uttar Pradesh,20°C - 35°C,Sandy loam soil,1100
Groundnut,Madhya Pradesh,25°C - 35°C,Clayey soil,500
Rice,Gujarat,20°C - 35°C,Loamy soil,1200
Rice,Rajasthan,25°C - 35°C,Sandy soil,500
Pulses,Telangana,20°C - 35°C,Loamy soil,800
Maize,Tamil Nadu,20°C - 35°C,Loamy soil,600
Wheat,Gujarat,15°C - 25°C,Sandy loam soil,800
Cotton,Rajasthan,10°C - 25°C,Sandy loam soil,800
Rice,Tamil Nadu,20°C - 35°C,Clayey soil,700
Rice,West Bengal,25°C - 35°C,Sandy loam soil,3000
Pulses,Punjab,25°C - 35°C,Sandy soil,900
Sorghum,West Bengal,10°C - 25°C,Clayey soil,3000
Barley,West Bengal,20°C - 30°C,Clayey soil,1200
Sugarcane,Gujarat,10°C - 25°C,Sandy loam soil,400
Groundnut,Uttar Pradesh,15°C - 25°C,Clayey soil,1000
Sorghum,West Bengal,20°C - 30°C,Sandy loam soil,1200
Sorghum,Punjab,20°C - 35°C,Sandy soil,1200
Groundnut,Telangana,15°C - 25°C,Sandy soil,400
Sugarcane,Madhya Pradesh,25°C - 35°C,Sandy soil,1000
Pulses,Gujarat,20°C - 30°C,Clayey soil,800
Rice,West Bengal,20°C - 35°C,Sandy soil,800
Rice,West Bengal,25°C - 35°C,Sandy loam soil,900
Sugarcane,Tamil Nadu,15°C - 25°C,Loamy soil,600
Sugarcane,West Bengal,10°C - 25°C,Loamy soil,900
Cotton,West Bengal,20°C - 35°C,Clayey soil,900
Sugarcane,Madhya Pradesh,10°C - 25°C,Sandy soil,800
Cotton,Uttar Pradesh,15°C - 25°C,Sandy soil,400
Rice,Telangana,25°C - 35°C,Sandy soil,400
Maize,Punjab,20°C - 30°C,Sandy soil,1100
Sugarcane,Uttar Pradesh,10°C - 25°C,Sandy loam soil,800
Soybean,Gujarat,20°C - 30°C,Loamy soil,800
Barley,Telangana,20°C - 30°C,Sandy soil,600
Maize,Madhya Pradesh,20°C - 35°C,Sandy loam soil,600
Soybean,Madhya Pradesh,20°C - 35°C,Clayey soil,3000
Rice,West Bengal,20°C - 30°C,Sandy loam soil,700
Groundnut,Rajasthan,20°C - 30°C,Sandy soil,1100
Soybean,Madhya Pradesh,25°C - 35°C,Sandy loam soil,500
Maize,Uttar Pradesh,20°C - 35°C,Clayey soil,500
Maize,Andhra Pradesh,25°C - 35°C,Loamy soil,400
Barley,Uttar Pradesh,20°C - 30°C,Loamy soil,3000
Pulses,Uttar Pradesh,10°C - 25°C,Sandy loam soil,1100
Rice,Tamil Nadu,20°C - 35°C,Sandy loam soil,500
Wheat,Rajasthan,15°C - 25°C,Sandy soil,600
Soybean,Maharashtra,20°C - 35°C,Sandy loam soil,1100
Barley,Gujarat,20°C - 30°C,Loamy soil,900
Wheat,Tamil Nadu,25°C - 35°C,Loamy soil,1100
Maize,Punjab,20°C - 35°C,Loamy soil,1100
Pulses,Uttar Pradesh,25°C - 35°C,Loamy soil,1100
Maize,Madhya Pradesh,20°C - 35°C,Loamy soil,800
Sorghum,Telangana,15°C - 25°C,Sandy soil,400
Groundnut,Telangana,20°C - 30°C,Sandy soil,1200
Soybean,Madhya Pradesh,20°C - 35°C,Loamy soil,400
Rice,Uttar Pradesh,20°C - 35°C,Loamy soil,500
Groundnut,Maharashtra,20°C - 35°C,Sandy soil,500
Sorghum,Telangana,20°C - 30°C,Loamy soil,1100
Barley,Uttar Pradesh,20°C - 30°C,Loamy soil,500
Soybean,Andhra Pradesh,20°C - 35°C,Sandy soil,800
Sorghum,Maharashtra,10°C - 25°C,Clayey soil,3000
Rice,Maharashtra,10°C - 25°C,Sandy soil,700
Rice,Rajasthan,15°C - 25°C,Loamy soil,1200
Rice,West Bengal,25°C - 35°C,Sandy soil,3000
Groundnut,Rajasthan,10°C - 25°C,Clayey soil,1100
Rice,Madhya Pradesh,20°C - 35°C,Sandy loam soil,400
Pulses,Rajasthan,10°C - 25°C,Sandy soil,800
Sugarcane,Uttar Pradesh,20°C - 35°C,Clayey soil,600
Barley,Andhra Pradesh,20°C - 35°C,Loamy soil,1100
Groundnut,West Bengal,10°C - 25°C,Loamy soil,700
Wheat,Uttar Pradesh,10°C - 25°C,Sandy loam soil,1000
Wheat,Rajasthan,10°C - 25°C,Clayey soil,400
Cotton,Rajasthan,20°C - 30°C,Loamy soil,700
Sugarcane,Telangana,20°C - 30°C,Sandy soil,1100
Sugarcane,Uttar Pradesh,20°C - 35°C,Sandy loam soil,400
Sugarcane,Andhra Pradesh,20°C - 35°C,Sandy loam soil,1100
Barley,West Bengal,15°C - 25°C,Sandy soil,1000
Maize,Telangana,10°C - 25°C,Sandy loam soil,1100
Wheat,West Bengal,25°C - 35°C,Clayey soil,700
Cotton,Maharashtra,20°C - 30°C,Loamy soil,600
Pulses,Gujarat,25°C - 35°C,Sandy soil,3000
Maize,Gujarat,20°C - 35°C,Loamy soil,3000
Pulses,Gujarat,25°C - 35°C,Loamy soil,400
Sugarcane,Punjab,20°C - 30°C,Sandy soil,1200
Barley,Gujarat,20°C - 35°C,Sandy soil,800
Cotton,Gujarat,10°C - 25°C,Clayey soil,800
Groundnut,West Bengal,20°C - 35°C,Sandy soil,1000
Pulses,Punjab,20°C - 35°C,Loamy soil,1000
Sorghum,Telangana,20°C - 30°C,Clayey soil,700
Maize,Madhya Pradesh,20°C - 30°C,Sandy loam soil,1100
Wheat,Madhya Pradesh,20°C - 30°C,Sandy soil,700
Barley,Andhra Pradesh,20°C - 30°C,Sandy soil,800
Groundnut,Andhra Pradesh,20°C - 30°C,Sandy loam soil,500
Maize,West Bengal,20°C - 30°C,Loamy soil,3000
Sugarcane,Rajasthan,10°C - 25°C,Sandy loam soil,700
Sugarcane,Madhya Pradesh,25°C - 35°C,Loamy soil,400
Barley,Telangana,15°C - 25°C,Sandy loam soil,900
Barley,Madhya Pradesh,25°C - 35°C,Loamy soil,800
Wheat,Punjab,15°C - 25°C,Sandy soil,700
Rice,Punjab,20°C - 30°C,Loamy soil,800
Groundnut,Andhra Pradesh,10°C - 25°C,Loamy soil,900
Cotton,West Bengal,10°C - 25°C,Clayey soil,600
Sorghum,West Bengal,20°C - 30°C,Clayey soil,3000
Sorghum,Maharashtra,20°C - 35°C,Sandy loam soil,3000
Sorghum,Punjab,10°C - 25°C,Sandy soil,1100
Sorghum,Uttar Pradesh,15°C - 25°C,Sandy loam soil,3000
Groundnut,Maharashtra,20°C - 30°C,Clayey soil,900
Sugarcane,Telangana,10°C - 25°C,Clayey soil,1200
Rice,Uttar Pradesh,10°C - 25°C,Loamy soil,600
Pulses,Rajasthan,25°C - 35°C,Sandy soil,500
Sorghum,Madhya Pradesh,10°C - 25°C,Sandy soil,700
Barley,West Bengal,20°C - 35°C,Loamy soil,1000
Rice,Telangana,25°C - 35°C,Sandy loam soil,400
Cotton,Maharashtra,20°C - 35°C,Loamy soil,1000
Pulses,Tamil Nadu,20°C - 30°C,Sandy soil,900
Barley,Madhya Pradesh,25°C - 35°C,Sandy loam soil,700
Cotton,Telangana,10°C - 25°C,Loamy soil,1200
Cotton,Telangana,25°C - 35°C,Sandy soil,400
Maize,Gujarat,20°C - 30°C,Loamy soil,900
Sugarcane,West Bengal,20°C - 30°C,Sandy soil,500
Cotton,Rajasthan,20°C - 35°C,Sandy soil,1100
Rice,Punjab,20°C - 35°C,Loamy soil,1100
Pulses,Punjab,10°C - 25°C,Clayey soil,800
Cotton,Uttar Pradesh,20°C - 30°C,Sandy loam soil,900
Pulses,Gujarat,20°C - 35°C,Loamy soil,800
Sorghum,Andhra Pradesh,20°C - 35°C,Sandy soil,800
Barley,Telangana,20°C - 35°C,Sandy soil,400
Rice,Telangana,10°C - 25°C,Clayey soil,500
Groundnut,Madhya Pradesh,25°C - 35°C,Sandy loam soil,1100
Pulses,Uttar Pradesh,20°C - 30°C,Sandy soil,1100
Groundnut,Tamil Nadu,25°C - 35°C,Sandy loam soil,1200
Cotton,Punjab,10°C - 25°C,Sandy soil,700
Maize,Maharashtra,25°C - 35°C,Clayey soil,1000
Cotton,Madhya Pradesh,15°C - 25°C,Clayey soil,400
Maize,Andhra Pradesh,15°C - 25°C,Sandy loam soil,1100
Barley,Maharashtra,15°C - 25°C,Sandy loam soil,500
Sugarcane,Madhya Pradesh,15°C - 25°C,Clayey soil,700
Rice,West Bengal,20°C - 30°C,Clayey soil,700
Pulses,Rajasthan,10°C - 25°C,Clayey soil,900
Rice,Telangana,15°C - 25°C,Sandy loam soil,600
Soybean,Andhra Pradesh,20°C - 30°C,Sandy loam soil,1200
Rice,Uttar Pradesh,25°C - 35°C,Sandy soil,3000
Pulses,Maharashtra,15°C - 25°C,Clayey soil,1200
Wheat,Punjab,20°C - 30°C,Loamy soil,1000
Barley,Madhya Pradesh,10°C - 25°C,Sandy soil,700
Cotton,Telangana,10°C - 25°C,Loamy soil,900
Barley,Rajasthan,20°C - 35°C,Loamy soil,3000
Rice,Rajasthan,10°C - 25°C,Sandy soil,1000
Barley,Maharashtra,10°C - 25°C,Sandy soil,800
Pulses,Andhra Pradesh,25°C - 35°C,Sandy loam soil,500
Soybean,Maharashtra,10°C - 25°C,Loamy soil,800
Rice,Rajasthan,15°C - 25°C,Clayey soil,400
Sugarcane,West Bengal,10°C - 25°C,Sandy loam soil,1200
Groundnut,West Bengal,25°C - 35°C,Clayey soil,700
Groundnut,Telangana,15°C - 25°C,Sandy soil,400
Wheat,Andhra Pradesh,20°C - 35°C,Sandy loam soil,500
Barley,Punjab,10°C - 25°C,Sandy soil,1100
Groundnut,Punjab,25°C - 35°C,Sandy loam soil,3000
Rice,Rajasthan,25°C - 35°C,Sandy loam soil,1100
Soybean,Telangana,15°C - 25°C,Sandy soil,1200
Rice,Gujarat,20°C - 30°C,Sandy loam soil,600
Soybean,Andhra Pradesh,25°C - 35°C,Clayey soil,3000
Sugarcane,Andhra Pradesh,25°C - 35°C,Sandy loam soil,600
Sorghum,Maharashtra,15°C - 25°C,Sandy loam soil,1200
Barley,Telangana,25°C - 35°C,Loamy soil,400
Rice,Telangana,20°C - 30°C,Sandy loam soil,3000
Groundnut,Uttar Pradesh,20°C - 30°C,Sandy soil,600
Wheat,Gujarat,20°C - 35°C,Clayey soil,1100
Maize,Tamil Nadu,20°C - 30°C,Sandy loam soil,1100
Sorghum,Punjab,10°C - 25°C,Sandy soil,600
Barley,Gujarat,20°C - 30°C,Sandy soil,1000
Maize,Gujarat,25°C - 35°C,Loamy soil,3000
Sorghum,Tamil Nadu,20°C - 35°C,Clayey soil,800
Groundnut,Madhya Pradesh,15°C - 25°C,Sandy soil,400
Pulses,Telangana,15°C - 25°C,Sandy loam soil,900
Sugarcane,West Bengal,20°C - 30°C,Sandy soil,500
Rice,Maharashtra,20°C - 30°C,Sandy soil,1200
Rice,Gujarat,20°C - 35°C,Loamy soil,1200
Soybean,Rajasthan,15°C - 25°C,Sandy soil,1000
Wheat,Uttar Pradesh,25°C - 35°C,Sandy soil,1000
Maize,Uttar Pradesh,20°C - 35°C,Loamy soil,600
Pulses,Uttar Pradesh,20°C - 35°C,Sandy loam soil,700
Maize,Madhya Pradesh,20°C - 35°C,Loamy soil,3000
Barley,Madhya Pradesh,10°C - 25°C,Loamy soil,1200
Barley,Rajasthan,25°C - 35°C,Sandy loam soil,800
Sorghum,Tamil Nadu,20°C - 30°C,Sandy loam soil,1200
Soybean,West Bengal,15°C - 25°C,Loamy soil,700
Soybean,Rajasthan,10°C - 25°C,Clayey soil,1100
Sorghum,West Bengal,25°C - 35°C,Sandy soil,500
Maize,Andhra Pradesh,20°C - 30°C,Sandy soil,900
Soybean,Tamil Nadu,10°C - 25°C,Sandy soil,600
Groundnut,Madhya Pradesh,10°C - 25°C,Sandy soil,3000
Groundnut,West Bengal,10°C - 25°C,Sandy soil,3000
Soybean,Gujarat,25°C - 35°C,Sandy loam soil,700
Rice,Uttar Pradesh,15°C - 25°C,Loamy soil,600
Groundnut,Andhra Pradesh,10°C - 25°C,Sandy loam soil,700
Pulses,Andhra Pradesh,15°C - 25°C,Sandy loam soil,700
Maize,Uttar Pradesh,10°C - 25°C,Clayey soil,800
Maize,Madhya Pradesh,15°C - 25°C,Sandy soil,600
Cotton,Uttar Pradesh,10°C - 25°C,Sandy loam soil,1100
Maize,Gujarat,10°C - 25°C,Clayey soil,3000
Sugarcane,Tamil Nadu,20°C - 30°C,Clayey soil,600
Wheat,Uttar Pradesh,10°C - 25°C,Loamy soil,900
Barley,Punjab,15°C - 25°C,Sandy loam soil,400
Wheat,Gujarat,15°C - 25°C,Loamy soil,600
Maize,Punjab,20°C - 30°C,Loamy soil,700
Pulses,Tamil Nadu,15°C - 25°C,Sandy soil,1100
Maize,Telangana,20°C - 35°C,Sandy soil,500
Soybean,Telangana,10°C - 25°C,Sandy soil,700
Sugarcane,West Bengal,10°C - 25°C,Clayey soil,700
Barley,Andhra Pradesh,20°C - 30°C,Sandy loam soil,1100
Soybean,Gujarat,10°C - 25°C,Sandy soil,3000
Rice,Rajasthan,20°C - 30°C,Sandy soil,1200
Sugarcane,Madhya Pradesh,15°C - 25°C,Sandy loam soil,900
Sugarcane,Rajasthan,20°C - 30°C,Loamy soil,1200
Sorghum,Tamil Nadu,15°C - 25°C,Clayey soil,1100
Soybean,Madhya Pradesh,10°C - 25°C,Sandy loam soil,3000
Sorghum,Tamil Nadu,20°C - 35°C,Loamy soil,1200
Maize,Telangana,10°C - 25°C,Sandy soil,400
Soybean,Punjab,15°C - 25°C,Sandy loam soil,1100
Sorghum,Uttar Pradesh,20°C - 30°C,Sandy loam soil,400
Groundnut,Uttar Pradesh,25°C - 35°C,Clayey soil,400
Rice,Madhya Pradesh,10°C - 25°C,Clayey soil,400
Sorghum,Madhya Pradesh,20°C - 35°C,Clayey soil,400
Sorghum,Rajasthan,20°C - 30°C,Sandy loam soil,600
Rice,Maharashtra,10°C - 25°C,Sandy loam soil,1100
Barley,Maharashtra,25°C - 35°C,Loamy soil,400
Rice,Maharashtra,20°C - 35°C,Clayey soil,500
Cotton,Gujarat,15°C - 25°C,Sandy loam soil,800
Soybean,Tamil Nadu,20°C - 30°C,Loamy soil,800
Maize,West Bengal,20°C - 30°C,Sandy loam soil,500
Pulses,Rajasthan,20°C - 35°C,Loamy soil,1200
Groundnut,Telangana,25°C - 35°C,Sandy soil,500
Sorghum,Maharashtra,15°C - 25°C,Loamy soil,600
Barley,Madhya Pradesh,20°C - 35°C,Sandy soil,700
Pulses,Tamil Nadu,15°C - 25°C,Sandy soil,3000
Groundnut,Uttar Pradesh,20°C - 35°C,Clayey soil,500
Sorghum,Gujarat,20°C - 30°C,Clayey soil,1000
Pulses,Uttar Pradesh,10°C - 25°C,Clayey soil,400
Wheat,Andhra Pradesh,25°C - 35°C,Clayey soil,1000
Maize,West Bengal,20°C - 35°C,Loamy soil,700
Cotton,Madhya Pradesh,15°C - 25°C,Sandy soil,900
Sugarcane,Andhra Pradesh,25°C - 35°C,Clayey soil,1100
Sugarcane,Madhya Pradesh,20°C - 35°C,Loamy soil,1100
Cotton,Rajasthan,10°C - 25°C,Sandy loam soil,900
Sugarcane,Rajasthan,20°C - 35°C,Sandy soil,600
Rice,Andhra Pradesh,25°C - 35°C,Sandy soil,3000
Maize,Maharashtra,10°C - 25°C,Loamy soil,800
Barley,Punjab,10°C - 25°C,Sandy loam soil,1200
Sorghum,Madhya Pradesh,15°C - 25°C,Sandy soil,600
Cotton,Uttar Pradesh,25°C - 35°C,Clayey soil,900
Barley,Tamil Nadu,10°C - 25°C,Loamy soil,500
Cotton,Tamil Nadu,25°C - 35°C,Sandy loam soil,500
Wheat,Rajasthan,15°C - 25°C,Clayey soil,700
Wheat,Uttar Pradesh,20°C - 30°C,Loamy soil,3000
Wheat,Maharashtra,20°C - 35°C,Clayey soil,3000
Sugarcane,Punjab,10°C - 25°C,Sandy soil,1000
Sugarcane,Telangana,10°C - 25°C,Sandy loam soil,1000
